,SMAPE,MASE,OWA,MAE,RMSE
D938,3.735844368,3.203271425,2.988890857,243.906522,255.9417865
D939,15.93189449,21.56487682,21.70089241,2014.311621,2021.094101
D940,2.82727423,4.313978573,3.160073882,397.2564593,451.7499786
D941,5.176746101,8.800616089,5.749427221,758.6038783,791.8232319
D942,20.69862066,20.58468894,20.55351886,1815.079967,1819.942086
D943,4.19920966,3.422182515,3.542738696,41.03878662,42.40085698
D944,3.180653395,2.505485803,2.86449979,34.26055385,36.64817465
D945,29.99469478,23.51363895,23.25116898,252.695855,252.9989168
D946,5.777734319,4.705493309,5.082904812,58.05608712,59.0099124
D947,5.120563343,4.84290828,4.332207471,53.03652832,54.21512241
D948,1.13508383,0.810557478,1.176966148,11.75144531,13.70993853
D949,2.130976302,1.813823404,1.63672604,26.69378313,28.53806145
D950,1.061883178,0.632733601,1.100699718,10.30314383,12.00294738
D951,6.421272527,5.160210303,5.333156682,86.66441616,87.74188809
D952,1.299863049,0.997991655,1.066689817,144.8798549,180.6687288
D953,9.404038146,6.334892554,5.192164543,869.1196708,883.6680532
D954,2.815458191,1.792051711,1.782861327,245.9769113,277.0747031
D955,7.847752284,2.484936983,8.224378375,42.29973912,42.65041348
D956,14.72522472,11.21453661,6.991312172,1533.927776,1545.485442
D957,8.8359352,5.546427005,5.507585064,757.7915039,768.7331079
D958,72.49644475415501,36.03647610544043,60.1173708081296,5020.989411272321,5022.610257932708
D959,6.140469225194764,4.2169802372021765,3.377559564739464,61.94607090541296,64.35321080633344
D960,6.359498920632956,3.8013225389825975,3.537771617901874,55.47240059988839,57.42382549691185
D961,2.436708059381806,1.7019600451671455,1.3633853144555728,25.106387416294645,30.437260158132048
D962,13.309707827417922,10.0312860738912,6.339857823251069,1377.4537667410716,1389.9790430425476
D963,3.314381112644643,1.92132445702103,2.123952843113824,27.928376464843748,30.40198690476161
D964,51.37181007852944,24.13655830225769,25.40575412391849,379.2897246442522,379.9803522314479
D965,3.624018710694074,2.471293471290764,1.968394950784939,361.27476283482144,395.4150708263325
D966,1.9585537189549125,1.3731916304123415,1.068929700939694,199.8408342633928,219.2142076060067
D967,6.878907760450023,4.523504064563275,3.583347865520137,68.31709803989953,70.30070194870491
D968,1.3978516103628242,0.8578381251721183,0.7637716536479786,13.282877371651782,15.649895827511116
D969,5.638391727019616,3.665367526816784,2.9462852290664587,55.61771379743302,57.97560007535124
D970,18.658058282108584,7.174987792790786,8.955007972915606,128.1835337611607,130.02167637864122
D971,1.9318389963185547,1.1386007610560944,1.0201781446838458,18.334345703125013,20.839781871176875
D972,5.150585361736418,2.616799940700637,4.4920410580768735,36.47099434988839,37.25110481368793
D973,5.677453335952005,5.651507616086443,3.534438612686096,682.7457589285714,699.0304715426606
D974,18.95302824929857,15.364808035432729,14.061520321450208,211.2679779924665,211.71806131426155
D975,2.228441062092116,1.9277570529855403,1.496732011470003,263.9734793526785,294.42224714934093
D976,5.430046266485025,5.316398069827157,3.3822496464110685,644.3954659598212,661.1415050206198
D977,2.2388697836110176,2.010476588709188,1.4180369002620483,257.2416294642856,292.1321203246216
D978,2.0555052866945536,1.7477579140112118,1.3810820472654812,24.02396135602682,27.020489508463964
D979,3.064741315862681,2.2860432116082543,2.0528462631937083,33.3436945452009,35.93660698899879
D980,39.379776536144455,22.873089829621183,16.42754344231941,350.0551416015625,351.0825141494532
D981,0.924164910182368,0.8060427994676778,0.5892588217460192,11.981428571428571,15.707091720075082
D982,21.16533176680935,14.568466538102156,13.06992694404751,233.17955618722087,235.56966052877485
D983,8.397262443290419,4.956639213615424,5.675616361441772,74.60662231445313,77.06464686727227
D984,1.3123768877304895,0.993129777342746,0.8381576633531513,15.7540157645089,20.47481768582641
D985,1.5035044484615412,1.2508612131402772,0.972466907774418,18.702730189732133,21.071436996896495
D986,12.018547127630477,18.464248996135755,11.628196766641652,230.35860107421877,232.6308686504113
D987,1.0451844470033902,0.8901228771763037,0.6583715614481689,11.576111537388377,14.11215362411807
D988,31.48871187612814,40.73109975701822,29.207745895561004,527.3832188197546,528.2915963736195
D989,24.28235740916875,27.80373448638291,22.580977340354107,305.3461146763393,306.1581056314768
D990,23.87132705130306,27.94458186869253,22.21342337871105,311.5015244838169,312.3558083287684
D991,20.886470928574,25.741318120838645,27.762413566460616,320.5149243164063,321.2864365242174
D992,26.259056330009003,27.7331206032258,22.150712100582325,366.3130950055804,367.1057382175621
D993,24.906625894964588,25.915075513406894,21.069735639248485,337.4369681222098,338.23875538494605
D994,16.819676599697424,18.3643835099848,13.244612882029404,238.71706612723213,240.2875470638527
D995,1.8456583682691965,2.5332843648631758,1.6179566564183847,28.775892857142853,33.38585753179586
D996,1.3375541221108878,1.972580230887802,1.173671452105309,23.514151088169637,27.16477210270852
D997,22.13994057213872,26.551670538206302,18.310529214545333,322.3342487444196,323.204076649118
D998,20.17765626974077,20.0451581200878,17.24242752544555,248.26376534598216,249.1244835952436
D999,18.558453880190186,20.391409809201093,17.47315132374157,212.96140380859373,213.8811560215819
D1000,11.974928685788234,15.713145790475284,11.801690878027914,189.2548988560268,191.1505052848832
D1001,13.960646250963675,16.2891007045799,18.84326250034298,189.8081647600446,190.7660467410359
D1002,8.046437485808195,7.389276548841481,4.373682593881577,89.81655099051338,98.0838342107236
D1003,13.703657510247416,17.488653577233407,13.451086673335569,207.3553609793527,208.969564457538
D1004,2.230414804578769,3.25689369098837,2.0187181227080453,49.06659040178575,57.29986621922483
D1005,15.62007541228996,18.47146721451285,15.2654172915332,208.21913085937496,209.49063694946196
D1006,23.485778074422704,28.550540345438183,19.368299611089768,352.0670085797991,352.9216896495416
D1007,18.088073132761004,26.528396594455508,15.742277114635488,381.1198775809152,382.76790849179866
D1008,1.866154962032379,1.2609514110557591,1.3034952414584806,24.26323695591517,27.7081038194991
D1009,22.7031471752926,35.22871479150573,22.22777376028635,480.5622140066963,482.0753574513649
D1010,1.6896676971712536,3.2407432926743382,1.5096753904483156,37.91352260044641,51.20691508676034
D1011,5.440843228136548,10.086948904799469,7.6547856503274305,119.2494252232143,122.9447779822134
D1012,19.565864091840268,18.50778766301549,15.48854633463777,273.88986258370534,274.55979713773735
D1013,0.6050289465822237,0.6750746796641561,0.8981536751662078,10.703393554687525,13.382344430473449
D1014,1.4103271828104489,2.924888790633312,1.2584914316817577,32.75987444196432,44.89039593064459
D1015,1.789999824332703,3.2382198627871106,1.576350324050397,41.90670619419647,48.07399119345642
D1016,8.398549478746801,13.417885993448314,7.265331951707639,182.79850725446428,185.8235053289509
D1017,6.737830130889026,9.19240423676198,4.209409622505065,161.71029785156253,167.73009818444822
D1018,15.983530387721816,25.887494745173672,21.933072806146196,320.7766877092634,322.07250617364656
D1019,1.9185704094682603,1.9698075743626364,0.997761736944326,34.906648646763365,43.46457959821724
D1020,2.10015125674626,1.1249710834211124,1.006687743042452,15.128618861607142,20.069338139429416
D1021,3.6035242859972714,4.373670704879015,9.866799057332786,100.71156738281256,101.2054206745698
D1022,5.70938611849909,8.63928595213543,4.000958356971459,322.31650809151785,332.9195489622711
D1023,5.569063744379716,13.241314583559278,10.154197674476944,482.9017578125001,487.5882267197456
D1024,4.63434208867961,11.181295742016925,6.254527631243098,536.9493164062497,543.1541010094428
D1025,50.4318596006441,28.734440001038344,34.25425168488883,406.7710930524554,407.02838528838674
D1026,10.074914891980542,7.931186351145541,10.94084584147361,149.51222795758926,151.31880349992136
D1027,12.92591766823018,8.94747774843162,14.451512015959556,185.01050816127236,186.5400394910032
D1028,21.053369956928982,15.917059447533754,23.11274253305242,320.568467843192,321.647649619711
